Ticker,CompanyName,Year,Date,Revenue,GrossProfit,OperatingIncome,NetIncome,GrossProfitMargin,OperatingProfitMargin,NetProfitMargin,EffectiveTaxRate
DAL,Delta Air Lines,2021,2021-06-30,7126000000.0,487000000.0,-566000000.0,652000000.0,6.834128543362334,-7.942744877911872,9.149593039573393,15.979381443298967
DAL,Delta Air Lines,2021,2021-03-31,4150000000.0,-1597000000.0,-2521000000.0,-1177000000.0,-38.48192771084337,-60.74698795180723,-28.36144578313253,0.0
DAL,Delta Air Lines,2020,2020-12-31,3973000000.0,-922000000.0,-4297000000.0,-755000000.0,-23.206644852756103,-108.15504656430907,-19.003272086584445,0.0
XRAY,Dentsply Sirona,2021,2021-03-31,1027000000.0,579000000.0,157000000.0,117000000.0,56.3777994157741,15.28724440116845,11.39240506329114,21.476510067114095
XRAY,Dentsply Sirona,2020,2020-12-31,1082300000.0,582100000.0,228800000.0,98500000.0,53.783608980874064,21.1401644645662,9.100988635313684,19.772172497965826
XRAY,Dentsply Sirona,2020,2020-09-30,894800000.0,474600000.0,115300000.0,53800000.0,53.039785426911045,12.885561019222171,6.012516763522575,18.74062968515742
XRAY,Dentsply Sirona,2020,2020-06-30,490600000.0,176100000.0,-102100000.0,-95400000.0,35.89482266612312,-20.811251528740318,-19.445576844679984,0.0
DVN,Devon Energy,2021,2021-06-30,2977000000.0,1655000000.0,320000000.0,256000000.0,55.59287873698354,10.749076251259657,8.599261001007726,14.144736842105262
DVN,Devon Energy,2021,2021-03-31,2461000000.0,1291000000.0,202000000.0,213000000.0,52.45835026412028,8.208045509955303,8.655018285249898,0.0
DVN,Devon Energy,2020,2020-12-31,1350000000.0,511000000.0,2819000000.0,-102000000.0,37.851851851851855,208.81481481481484,-7.555555555555555,0.0
DVN,Devon Energy,2020,2020-09-30,1112000000.0,409000000.0,-95000000.0,-92000000.0,36.780575539568346,-8.543165467625899,-8.273381294964029,0.0
DXCM,DexCom,2021,2021-06-30,595100000.0,417100000.0,101000000.0,62900000.0,70.08906066207359,16.971937489497563,10.569652159300958,17.992177314211215
DXCM,DexCom,2021,2021-03-31,505000000.0,343900000.0,45900000.0,40300000.0,68.0990099009901,9.089108910891088,7.98019801980198,-90.09433962264151
DXCM,DexCom,2020,2020-12-31,568900000.0,399100000.0,104000000.0,355200000.0,70.15292670065037,18.280892951309543,62.436280541395675,-336.90036900369
DXCM,DexCom,2020,2020-09-30,500900000.0,340400000.0,94100000.0,72200000.0,67.95767618287083,18.78618486723897,14.414054701537232,3.861517976031957
FANG,Diamondback Energy,2021,2021-03-31,1123000000.0,962000000.0,355000000.0,220000000.0,85.6634016028495,31.611754229741763,19.590382902938558,22.569444444444446
FANG,Diamondback Energy,2020,2020-12-31,729000000.0,577000000.0,48000000.0,-739000000.0,79.14951989026063,6.584362139917696,-101.37174211248285,0.0
FANG,Diamondback Energy,2020,2020-09-30,683000000.0,522000000.0,91000000.0,-1113000000.0,76.42752562225475,13.323572474377746,-162.9575402635432,0.0
FANG,Diamondback Energy,2020,2020-06-30,404000000.0,233000000.0,-486000000.0,-2393000000.0,57.67326732673267,-120.29702970297029,-592.3267326732673,0.0
DLR,Digital Realty Trust,2021,2021-06-30,1145331000.0,713617000.0,244846000.0,121254000.0,62.30661703909176,21.377750187500382,10.586808529586643,27.443765140154575
DLR,Digital Realty Trust,2021,2021-03-31,1067360000.0,638958000.0,169488000.0,385920000.0,59.86340128916204,15.879178533952931,36.156498276120516,1.8763223386032126
DLR,Digital Realty Trust,2020,2020-12-31,1093664000.0,673352000.0,210608000.0,57691000.0,61.56845246803406,19.257102729906077,5.275020481610439,5.287283144994429
DLR,Digital Realty Trust,2020,2020-09-30,1022612000.0,621274000.0,163782000.0,-138000.0,60.753638721235426,16.016045186248547,-0.013494854353361781,109.9595862730324
